text,sentiment
"According to the review, the film takes place over several days.",neutral
The film was discussed by viewers online in the story.,neutral
"According to the review, this film contains multiple dialogue scenes.",neutral
"According to the review, the movie is available in multiple languages.",neutral
"According to the review, the story contains multiple dialogue scenes.",neutral
The story is two hours long in the story.,neutral
This movie takes place over several days for most of the runtime.,neutral
The plot is available in multiple languages for most of the runtime.,neutral
This film has a runtime close to two hours for most of the runtime.,neutral
"According to the review, the film is set in a city environment.",neutral
The story is available in multiple languages for most of the runtime.,neutral
This movie was directed by a known director in the story.,neutral
"Overall, this film is available in multiple languages.",neutral
The plot belongs to the drama genre for most of the runtime.,neutral
"Overall, this film belongs to the drama genre.",neutral
This film is two hours long.,neutral
This movie has several main characters in the story.,neutral
"According to the review, the film has several main characters.",neutral
This movie was discussed by viewers online.,neutral
The plot has several main characters in the story.,neutral
This film has a runtime close to two hours for most of the runtime.,neutral
The plot includes indoor and outdoor scenes.,neutral
The plot is available in multiple languages for most of the runtime.,neutral
"According to the review, the film takes place over several days.",neutral
This movie follows a family based storyline.,neutral
This film follows a family based storyline.,neutral
This movie was directed by a known director.,neutral
This movie was directed by a known director for most of the runtime.,neutral
The plot was directed by a known director.,neutral
The movie has a runtime close to two hours for most of the runtime.,neutral
"According to the review, the story has several main characters.",neutral
"According to the review, this movie features a small main cast.",neutral
"According to the review, the plot includes indoor and outdoor scenes.",neutral
"Overall, the film takes place over several days.",neutral
The film is two hours long for most of the runtime.,neutral
This movie was directed by a known director in the story.,neutral
"According to the review, the movie takes place over several days.",neutral
The plot is available in multiple languages.,neutral
The film was directed by a known director in the story.,neutral
"According to the review, the movie has several main characters.",neutral
The film was discussed by viewers online for most of the runtime.,neutral
This film has a runtime close to two hours.,neutral
The story includes indoor and outdoor scenes.,neutral
This movie features a small main cast.,neutral
The film has a runtime close to two hours.,neutral
"Overall, this film was released in 2020.",neutral
The film was released in 2020 for most of the runtime.,neutral
The story has several main characters for most of the runtime.,neutral
This film contains multiple dialogue scenes for most of the runtime.,neutral
"Overall, the movie was discussed by viewers online.",neutral
"Overall, the movie takes place over several days.",neutral
The plot has several main characters for most of the runtime.,neutral
"Overall, the plot was discussed by viewers online.",neutral
"Overall, the movie contains multiple dialogue scenes.",neutral
"Overall, the story contains multiple dialogue scenes.",neutral
The plot belongs to the drama genre in the story.,neutral
The story has a runtime close to two hours for most of the runtime.,neutral
This movie follows a family based storyline in the story.,neutral
This movie is available in multiple languages for most of the runtime.,neutral
The film is set in a city environment in the story.,neutral
The plot was directed by a known director for most of the runtime.,neutral
"Overall, this movie follows a family based storyline.",neutral
"According to the review, the movie features a small main cast.",neutral
This film is two hours long in the story.,neutral
"Overall, the story has a runtime close to two hours.",neutral
The film belongs to the drama genre.,neutral
This film follows a family based storyline in the story.,neutral
"Overall, the movie includes indoor and outdoor scenes.",neutral
This movie follows a family based storyline for most of the runtime.,neutral
The film has several main characters.,neutral
The film has several main characters in the story.,neutral
The story contains multiple dialogue scenes in the story.,neutral
The story has a runtime close to two hours.,neutral
The plot contains multiple dialogue scenes for most of the runtime.,neutral
"According to the review, the film was discussed by viewers online.",neutral
"According to the review, this movie belongs to the drama genre.",neutral
"According to the review, this film features a small main cast.",neutral
"According to the review, the film was discussed by viewers online.",neutral
"Overall, this movie was directed by a known director.",neutral
"Overall, the plot was discussed by viewers online.",neutral
"According to the review, the plot contains multiple dialogue scenes.",neutral
This movie has a runtime close to two hours in the story.,neutral
This movie belongs to the drama genre in the story.,neutral
This movie takes place over several days in the story.,neutral
"Overall, the plot is set in a city environment.",neutral
This movie includes action sequences for most of the runtime.,neutral
"Overall, this film features a small main cast.",neutral
"Overall, the movie features a small main cast.",neutral
The movie includes action sequences in the story.,neutral
"According to the review, the plot features a small main cast.",neutral
This film features a small main cast in the story.,neutral
"According to the review, the movie is available in multiple languages.",neutral
The film follows a family based storyline in the story.,neutral
This movie is available in multiple languages in the story.,neutral
"Overall, the movie is set in a city environment.",neutral
This film is set in a city environment for most of the runtime.,neutral
"According to the review, the story takes place over several days.",neutral
The film was discussed by viewers online for most of the runtime.,neutral
This film is available in multiple languages in the story.,neutral
"According to the review, the movie was released in 2020.",neutral
"Overall, the film is set in a city environment.",neutral
"Overall, the plot was discussed by viewers online.",neutral
"Overall, the movie features a small main cast.",neutral
"Overall, the plot includes indoor and outdoor scenes.",neutral
The film contains multiple dialogue scenes for most of the runtime.,neutral
The story includes action sequences.,neutral
The movie is two hours long in the story.,neutral
This movie was directed by a known director in the story.,neutral
This film includes indoor and outdoor scenes in the story.,neutral
"According to the review, the movie has a runtime close to two hours.",neutral
The plot was released in 2020 in the story.,neutral
"According to the review, the plot includes action sequences.",neutral
The film was discussed by viewers online in the story.,neutral
The story has several main characters for most of the runtime.,neutral
"According to the review, the movie has a runtime close to two hours.",neutral
This movie was discussed by viewers online for most of the runtime.,neutral
The plot contains multiple dialogue scenes for most of the runtime.,neutral
The story is available in multiple languages in the story.,neutral
"According to the review, the plot is two hours long.",neutral
The movie is available in multiple languages in the story.,neutral
"Overall, this movie includes indoor and outdoor scenes.",neutral
"According to the review, the plot includes indoor and outdoor scenes.",neutral
"Overall, the film is set in a city environment.",neutral
The film has a runtime close to two hours in the story.,neutral
This movie has several main characters in the story.,neutral
This movie was discussed by viewers online.,neutral
"Overall, the film was released in 2020.",neutral
"Overall, this film includes action sequences.",neutral
The movie is available in multiple languages for most of the runtime.,neutral
The movie includes indoor and outdoor scenes for most of the runtime.,neutral
This movie is two hours long for most of the runtime.,neutral
This film is two hours long for most of the runtime.,neutral
This movie features a small main cast for most of the runtime.,neutral
This film contains multiple dialogue scenes for most of the runtime.,neutral
This movie follows a family based storyline.,neutral
The plot was released in 2020 for most of the runtime.,neutral
The movie was directed by a known director.,neutral
The story belongs to the drama genre for most of the runtime.,neutral
"Overall, the movie was discussed by viewers online.",neutral
"According to the review, the story follows a family based storyline.",neutral
"Overall, the movie features a small main cast.",neutral
"Overall, this movie has a runtime close to two hours.",neutral
The plot belongs to the drama genre in the story.,neutral
The movie belongs to the drama genre for most of the runtime.,neutral
This movie has a runtime close to two hours for most of the runtime.,neutral
"Overall, the plot takes place over several days.",neutral
The movie includes action sequences for most of the runtime.,neutral
This movie is two hours long for most of the runtime.,neutral
This film is two hours long.,neutral
"Overall, the film is set in a city environment.",neutral
"According to the review, the film contains multiple dialogue scenes.",neutral
The story follows a family based storyline in the story.,neutral
"According to the review, the story has a runtime close to two hours.",neutral
The story includes indoor and outdoor scenes in the story.,neutral
The plot is available in multiple languages for most of the runtime.,neutral
"According to the review, the film has several main characters.",neutral
"According to the review, the film contains multiple dialogue scenes.",neutral
The movie is two hours long for most of the runtime.,neutral
The story is available in multiple languages.,neutral
The film was directed by a known director in the story.,neutral
The movie is set in a city environment in the story.,neutral
"According to the review, the film follows a family based storyline.",neutral
"According to the review, the film contains multiple dialogue scenes.",neutral
"According to the review, this film contains multiple dialogue scenes.",neutral
The film features a small main cast in the story.,neutral
"Overall, the movie belongs to the drama genre.",neutral
"Overall, the movie is available in multiple languages.",neutral
"According to the review, the movie has a runtime close to two hours.",neutral
"Overall, this film is two hours long.",neutral
"According to the review, this film includes action sequences.",neutral
"Overall, the film features a small main cast.",neutral
The story is available in multiple languages.,neutral
The movie belongs to the drama genre for most of the runtime.,neutral
The story takes place over several days for most of the runtime.,neutral
"According to the review, the movie belongs to the drama genre.",neutral
The movie has a runtime close to two hours for most of the runtime.,neutral
This movie takes place over several days in the story.,neutral
"According to the review, this film has several main characters.",neutral
The movie features a small main cast for most of the runtime.,neutral
This movie has a runtime close to two hours in the story.,neutral
"Overall, the story was released in 2020.",neutral
"Overall, the movie is two hours long.",neutral
This film includes action sequences.,neutral
This movie is set in a city environment in the story.,neutral
The movie includes action sequences in the story.,neutral
The film takes place over several days.,neutral
"Overall, the plot follows a family based storyline.",neutral
This film is two hours long in the story.,neutral
The plot follows a family based storyline in the story.,neutral
"According to the review, the movie belongs to the drama genre.",neutral
The film was discussed by viewers online.,neutral
"According to the review, the film was directed by a known director.",neutral
"Overall, the film takes place over several days.",neutral
The movie is two hours long for most of the runtime.,neutral
The film is available in multiple languages in the story.,neutral
"Overall, this movie was discussed by viewers online.",neutral
"According to the review, the film includes action sequences.",neutral
The film includes indoor and outdoor scenes for most of the runtime.,neutral
"According to the review, the film takes place over several days.",neutral
This movie includes indoor and outdoor scenes.,neutral
"Overall, the film is two hours long.",neutral
"Overall, the film contains multiple dialogue scenes.",neutral
The plot is set in a city environment in the story.,neutral
The story is set in a city environment.,neutral
The movie is set in a city environment.,neutral
"According to the review, this film is two hours long.",neutral
This film is two hours long for most of the runtime.,neutral
This film features a small main cast for most of the runtime.,neutral
"According to the review, the plot was directed by a known director.",neutral
The film was released in 2020.,neutral
"According to the review, this movie includes indoor and outdoor scenes.",neutral
The movie includes action sequences.,neutral
"Overall, the movie has a runtime close to two hours.",neutral
This film is available in multiple languages for most of the runtime.,neutral
This film belongs to the drama genre for most of the runtime.,neutral
The plot is two hours long in the story.,neutral
This film has a runtime close to two hours in the story.,neutral
The film is set in a city environment for most of the runtime.,neutral
This movie was discussed by viewers online.,neutral
This film has a runtime close to two hours for most of the runtime.,neutral
"According to the review, the film belongs to the drama genre.",neutral
"According to the review, the story belongs to the drama genre.",neutral
The film follows a family based storyline.,neutral
"Overall, the plot was released in 2020.",neutral
This movie includes indoor and outdoor scenes for most of the runtime.,neutral
"According to the review, the movie has several main characters.",neutral
This movie belongs to the drama genre in the story.,neutral
"Overall, this movie takes place over several days.",neutral
The plot was discussed by viewers online for most of the runtime.,neutral
The story was discussed by viewers online in the story.,neutral
"Overall, the film is set in a city environment.",neutral
"According to the review, this movie follows a family based storyline.",neutral
The story takes place over several days.,neutral
"Overall, the plot includes indoor and outdoor scenes.",neutral
"According to the review, the plot is two hours long.",neutral
"According to the review, the film is two hours long.",neutral
"According to the review, the plot is two hours long.",neutral
The film includes action sequences in the story.,neutral
"Overall, the movie was discussed by viewers online.",neutral
This film is available in multiple languages in the story.,neutral
The film follows a family based storyline for most of the runtime.,neutral
"According to the review, this film has a runtime close to two hours.",neutral
This film was discussed by viewers online in the story.,neutral
The story has a runtime close to two hours.,neutral
The plot contains multiple dialogue scenes for most of the runtime.,neutral
"According to the review, this movie is set in a city environment.",neutral
"Overall, this movie is set in a city environment.",neutral
The story has a runtime close to two hours.,neutral
The plot is available in multiple languages in the story.,neutral
The story contains multiple dialogue scenes.,neutral
This movie includes action sequences.,neutral
The story belongs to the drama genre.,neutral
The film has a runtime close to two hours.,neutral
The movie was directed by a known director in the story.,neutral
The film is available in multiple languages in the story.,neutral
"Overall, this movie has a runtime close to two hours.",neutral
The story was released in 2020 for most of the runtime.,neutral
The film includes action sequences for most of the runtime.,neutral
"According to the review, the film belongs to the drama genre.",neutral
The movie has several main characters in the story.,neutral
"According to the review, the story was discussed by viewers online.",neutral
The story is available in multiple languages for most of the runtime.,neutral
The story is two hours long for most of the runtime.,neutral
"According to the review, this movie was directed by a known director.",neutral
"According to the review, the plot was directed by a known director.",neutral
This movie belongs to the drama genre.,neutral
The plot belongs to the drama genre for most of the runtime.,neutral
"According to the review, the film is available in multiple languages.",neutral
"Overall, the story was discussed by viewers online.",neutral
The film contains multiple dialogue scenes.,neutral
"Overall, this film contains multiple dialogue scenes.",neutral
"Overall, the story includes action sequences.",neutral
"According to the review, this film is set in a city environment.",neutral
The plot contains multiple dialogue scenes.,neutral
The movie contains multiple dialogue scenes for most of the runtime.,neutral
"According to the review, the plot contains multiple dialogue scenes.",neutral
The plot was discussed by viewers online for most of the runtime.,neutral
"Overall, the movie is two hours long.",neutral
"Overall, the film belongs to the drama genre.",neutral
"According to the review, the film features a small main cast.",neutral
"According to the review, this film features a small main cast.",neutral
"Overall, the plot includes action sequences.",neutral
"According to the review, the story has several main characters.",neutral
"According to the review, this movie was released in 2020.",neutral
"Overall, this movie belongs to the drama genre.",neutral
The movie takes place over several days for most of the runtime.,neutral
"According to the review, the plot belongs to the drama genre.",neutral
This film belongs to the drama genre in the story.,neutral
This movie is two hours long.,neutral
The story contains multiple dialogue scenes for most of the runtime.,neutral
The movie features a small main cast for most of the runtime.,neutral
"Overall, this film has several main characters.",neutral
This movie is available in multiple languages.,neutral
The story takes place over several days for most of the runtime.,neutral
This film belongs to the drama genre.,neutral
The plot is set in a city environment in the story.,neutral
The movie includes action sequences in the story.,neutral
"Overall, the movie follows a family based storyline.",neutral
"According to the review, this film was discussed by viewers online.",neutral
"Overall, the plot takes place over several days.",neutral
This movie has several main characters for most of the runtime.,neutral
The movie was released in 2020 for most of the runtime.,neutral
The story is available in multiple languages in the story.,neutral
"Overall, the film is available in multiple languages.",neutral
"Overall, the plot includes action sequences.",neutral
The movie follows a family based storyline.,neutral
This movie is available in multiple languages in the story.,neutral
This movie follows a family based storyline for most of the runtime.,neutral
This movie includes action sequences in the story.,neutral
This movie was released in 2020.,neutral
"Overall, the movie takes place over several days.",neutral
"Overall, the film was discussed by viewers online.",neutral
"Overall, the film was discussed by viewers online.",neutral
The plot contains multiple dialogue scenes.,neutral
The plot has a runtime close to two hours for most of the runtime.,neutral
The story is available in multiple languages for most of the runtime.,neutral
This film was discussed by viewers online for most of the runtime.,neutral
The plot includes action sequences.,neutral
The story was released in 2020 for most of the runtime.,neutral
The plot was released in 2020 for most of the runtime.,neutral
"According to the review, the movie was released in 2020.",neutral
This movie was discussed by viewers online for most of the runtime.,neutral
"Overall, this film is available in multiple languages.",neutral
The plot takes place over several days.,neutral
"Overall, this movie follows a family based storyline.",neutral
This film was discussed by viewers online for most of the runtime.,neutral
"Overall, the movie includes action sequences.",neutral
The plot includes indoor and outdoor scenes.,neutral
"According to the review, the film was discussed by viewers online.",neutral
The movie follows a family based storyline in the story.,neutral
"Overall, the movie contains multiple dialogue scenes.",neutral
"Overall, the movie takes place over several days.",neutral
This movie is set in a city environment in the story.,neutral
This movie has several main characters in the story.,neutral
This film features a small main cast.,neutral
This movie has a runtime close to two hours in the story.,neutral
The film has several main characters for most of the runtime.,neutral
The story follows a family based storyline in the story.,neutral
The plot includes action sequences in the story.,neutral
"Overall, the film is available in multiple languages.",neutral
The movie is set in a city environment in the story.,neutral
"According to the review, the story was directed by a known director.",neutral
This movie is available in multiple languages in the story.,neutral
The movie includes indoor and outdoor scenes.,neutral
The plot includes action sequences in the story.,neutral
"According to the review, the story has a runtime close to two hours.",neutral
This film has several main characters in the story.,neutral
The plot has a runtime close to two hours in the story.,neutral
"Overall, this movie features a small main cast.",neutral
"According to the review, this movie features a small main cast.",neutral
The film is set in a city environment.,neutral
The movie has several main characters for most of the runtime.,neutral
This movie includes indoor and outdoor scenes for most of the runtime.,neutral
The plot follows a family based storyline for most of the runtime.,neutral
This movie features a small main cast for most of the runtime.,neutral
"Overall, the story belongs to the drama genre.",neutral
The story takes place over several days.,neutral
The film was released in 2020.,neutral
"Overall, the plot was discussed by viewers online.",neutral
This movie belongs to the drama genre in the story.,neutral
"Overall, the story is set in a city environment.",neutral
"Overall, the film includes indoor and outdoor scenes.",neutral
The movie is available in multiple languages in the story.,neutral
The story was discussed by viewers online.,neutral
"Overall, this movie has several main characters.",neutral
The movie has several main characters for most of the runtime.,neutral
The film follows a family based storyline in the story.,neutral
"According to the review, the movie has a runtime close to two hours.",neutral
"According to the review, the plot has several main characters.",neutral
"According to the review, the film has a runtime close to two hours.",neutral
The film is two hours long in the story.,neutral
The film is two hours long for most of the runtime.,neutral
"Overall, this film is available in multiple languages.",neutral
This film was directed by a known director for most of the runtime.,neutral
"Overall, the story has several main characters.",neutral
The film is available in multiple languages for most of the runtime.,neutral
The story includes action sequences for most of the runtime.,neutral
This film takes place over several days in the story.,neutral
The plot features a small main cast in the story.,neutral
This movie includes action sequences in the story.,neutral
"According to the review, this movie includes indoor and outdoor scenes.",neutral
This movie was directed by a known director in the story.,neutral
"According to the review, the movie takes place over several days.",neutral
"According to the review, this movie is available in multiple languages.",neutral
"According to the review, the story was discussed by viewers online.",neutral
The movie includes indoor and outdoor scenes for most of the runtime.,neutral
The plot has a runtime close to two hours for most of the runtime.,neutral
This movie was released in 2020 for most of the runtime.,neutral
The film takes place over several days in the story.,neutral
The plot takes place over several days for most of the runtime.,neutral
The film has a runtime close to two hours in the story.,neutral
The story is available in multiple languages.,neutral
"Overall, this film was discussed by viewers online.",neutral
"Overall, this film was discussed by viewers online.",neutral
The movie belongs to the drama genre.,neutral
The story has a runtime close to two hours for most of the runtime.,neutral
The plot is two hours long in the story.,neutral
"According to the review, this film is available in multiple languages.",neutral
The movie follows a family based storyline in the story.,neutral
The movie takes place over several days in the story.,neutral
The story contains multiple dialogue scenes.,neutral
"Overall, the plot was discussed by viewers online.",neutral
"According to the review, this film takes place over several days.",neutral
"Overall, this film has several main characters.",neutral
This movie was directed by a known director in the story.,neutral
This movie has several main characters for most of the runtime.,neutral
"According to the review, the story includes action sequences.",neutral
The story follows a family based storyline for most of the runtime.,neutral
This movie is available in multiple languages.,neutral
The story is two hours long in the story.,neutral
The story was released in 2020.,neutral
The story was released in 2020 for most of the runtime.,neutral
"According to the review, this film takes place over several days.",neutral
"According to the review, the plot has several main characters.",neutral
"According to the review, the story features a small main cast.",neutral
"Overall, the film is two hours long.",neutral
The plot was released in 2020 in the story.,neutral
"Overall, the movie was released in 2020.",neutral
"Overall, the story takes place over several days.",neutral
"Overall, this film includes action sequences.",neutral
The film is available in multiple languages in the story.,neutral
The film was released in 2020 in the story.,neutral
"Overall, this movie belongs to the drama genre.",neutral
This movie has a runtime close to two hours.,neutral
"Overall, the film contains multiple dialogue scenes.",neutral
The film has several main characters in the story.,neutral
The plot follows a family based storyline.,neutral
This movie has a runtime close to two hours.,neutral
The story contains multiple dialogue scenes.,neutral
The story is two hours long for most of the runtime.,neutral
The movie follows a family based storyline in the story.,neutral
The movie belongs to the drama genre.,neutral
The story is two hours long.,neutral
This movie includes action sequences in the story.,neutral
The movie features a small main cast for most of the runtime.,neutral
The story is set in a city environment.,neutral
The film has several main characters for most of the runtime.,neutral
This film belongs to the drama genre for most of the runtime.,neutral
The film is set in a city environment.,neutral
"According to the review, the plot includes indoor and outdoor scenes.",neutral
The story is set in a city environment for most of the runtime.,neutral
"Overall, the film includes indoor and outdoor scenes.",neutral
"According to the review, the plot is available in multiple languages.",neutral
"Overall, the story belongs to the drama genre.",neutral
The movie was discussed by viewers online.,neutral
The story includes indoor and outdoor scenes.,neutral
This movie includes indoor and outdoor scenes in the story.,neutral
"According to the review, the movie is set in a city environment.",neutral
"According to the review, the story was directed by a known director.",neutral
"According to the review, the movie has a runtime close to two hours.",neutral
The story belongs to the drama genre for most of the runtime.,neutral
This movie has a runtime close to two hours for most of the runtime.,neutral
"Overall, this film features a small main cast.",neutral
The movie follows a family based storyline for most of the runtime.,neutral
"According to the review, the movie is set in a city environment.",neutral
"According to the review, this movie belongs to the drama genre.",neutral
"Overall, this film has several main characters.",neutral
The movie is set in a city environment.,neutral
This film features a small main cast for most of the runtime.,neutral
The movie is available in multiple languages for most of the runtime.,neutral
The movie follows a family based storyline in the story.,neutral
The story was discussed by viewers online for most of the runtime.,neutral
The plot was directed by a known director for most of the runtime.,neutral
This film features a small main cast for most of the runtime.,neutral
The plot has several main characters in the story.,neutral
"Overall, this movie belongs to the drama genre.",neutral
"Overall, the film contains multiple dialogue scenes.",neutral
"Overall, this film includes action sequences.",neutral
The movie has a runtime close to two hours.,neutral
This film was released in 2020 in the story.,neutral
The story has a runtime close to two hours for most of the runtime.,neutral
"Overall, this film contains multiple dialogue scenes.",neutral
This movie features a small main cast.,neutral
The story is available in multiple languages.,neutral
The film was released in 2020 in the story.,neutral
The story takes place over several days for most of the runtime.,neutral
The story belongs to the drama genre in the story.,neutral
The plot is two hours long for most of the runtime.,neutral
The movie is two hours long in the story.,neutral
This film has several main characters in the story.,neutral
"Overall, the story is two hours long.",neutral
The plot was directed by a known director for most of the runtime.,neutral
The film was directed by a known director in the story.,neutral
The plot takes place over several days.,neutral
"Overall, the film was released in 2020.",neutral
"According to the review, the film includes indoor and outdoor scenes.",neutral
The plot is set in a city environment.,neutral
"Overall, the plot has several main characters.",neutral
The film was discussed by viewers online for most of the runtime.,neutral
"Overall, the movie is two hours long.",neutral
The film includes indoor and outdoor scenes.,neutral
"According to the review, this movie is two hours long.",neutral
The plot is available in multiple languages in the story.,neutral
"According to the review, the film includes action sequences.",neutral
"Overall, this movie includes indoor and outdoor scenes.",neutral
"According to the review, the movie belongs to the drama genre.",neutral
The story has several main characters for most of the runtime.,neutral
"Overall, the plot contains multiple dialogue scenes.",neutral
The plot was discussed by viewers online in the story.,neutral
The film includes indoor and outdoor scenes in the story.,neutral
This film takes place over several days.,neutral
"Overall, this film is available in multiple languages.",neutral
"According to the review, this film contains multiple dialogue scenes.",neutral
This film contains multiple dialogue scenes for most of the runtime.,neutral
"Overall, the movie follows a family based storyline.",neutral
"Overall, the movie takes place over several days.",neutral
"According to the review, the film follows a family based storyline.",neutral
The movie follows a family based storyline.,neutral
"Overall, the movie belongs to the drama genre.",neutral
The movie belongs to the drama genre for most of the runtime.,neutral
This movie belongs to the drama genre in the story.,neutral
"Overall, the plot takes place over several days.",neutral
This movie was directed by a known director in the story.,neutral
This movie is available in multiple languages for most of the runtime.,neutral
This movie was released in 2020.,neutral
"According to the review, this film is available in multiple languages.",neutral
"Overall, the movie was directed by a known director.",neutral
The film belongs to the drama genre for most of the runtime.,neutral
"Overall, the movie has a runtime close to two hours.",neutral
"According to the review, the movie was released in 2020.",neutral
"Overall, the movie is available in multiple languages.",neutral
The film was released in 2020.,neutral
The film includes action sequences for most of the runtime.,neutral
